Station,Yellowknife A 1706,Landing Tower,Vital Tower
Latitude,62.46,62.5593,62.6042
Longitude,-114.44,-114.4117,-114.4475
2002-01-01 00:00:00,0.000102083235,4.7382335e-05,4.7382335e-05
2002-01-01 06:00:00,7.227189e-05,6.6623743e-06,6.6623743e-06
2002-01-01 12:00:00,0.000117437914,7.8603014e-05,7.8603014e-05
2002-01-01 18:00:00,0.00012753936,8.92692e-05,8.92692e-05
2002-01-02 00:00:00,9.2724425e-05,0.00010229934,0.00010229934
2002-01-02 06:00:00,9.579616e-05,0.00010554239,0.00010554239
2002-01-02 12:00:00,9.855611e-05,0.00014883102,0.00014883102
2002-01-02 18:00:00,9.428882e-05,0.00012360422,0.00012360422
2002-01-03 00:00:00,8.398467e-05,8.7705164e-05,8.7705164e-05
2002-01-03 06:00:00,9.205943e-05,9.626781e-05,9.626781e-05
2002-01-03 12:00:00,9.8702396e-05,5.1084102e-05,5.1084102e-05
2002-01-03 18:00:00,6.562182e-05,5.9367035e-06,5.9367035e-06
2002-01-04 00:00:00,0.0,0.0,0.0
2002-01-04 06:00:00,0.0001118915,0.00015477416,0.00015477416
2002-01-04 12:00:00,0.00064797833,0.0012198638,0.0012198638
2002-01-04 18:00:00,9.455691e-05,0.0001598425,0.0001598425
2002-01-05 00:00:00,0.0001131999,0.00011427825,0.00011427825
2002-01-05 06:00:00,8.359972e-05,0.00010855125,0.00010855125
2002-01-05 12:00:00,8.805006e-05,0.0001313017,0.0001313017
2002-01-05 18:00:00,3.052576e-06,2.3668701e-05,2.3668701e-05
2002-01-06 00:00:00,8.2721715e-05,0.000116514995,0.000116514995
2002-01-06 06:00:00,8.616714e-05,0.0001309582,0.0001309582
2002-01-06 12:00:00,3.316922e-06,2.6401372e-05,2.6401372e-05
2002-01-06 18:00:00,0.0,0.0,0.0
2002-01-07 00:00:00,0.0,0.0,0.0
2002-01-07 06:00:00,0.0,0.0,0.0
2002-01-07 12:00:00,1.8892964e-06,5.81882e-06,5.81882e-06
2002-01-07 18:00:00,0.0,0.0,0.0
2002-01-08 00:00:00,0.0,0.0,0.0
2002-01-08 06:00:00,0.0,0.0,0.0
2002-01-08 12:00:00,0.0,0.0,0.0
2002-01-08 18:00:00,5.209477e-06,3.547265e-05,3.547265e-05
2002-01-09 00:00:00,0.0,0.0,0.0
2002-01-09 06:00:00,0.0,0.0,0.0
2002-01-09 12:00:00,0.0,0.0,0.0
2002-01-09 18:00:00,7.0499256e-05,5.638786e-05,5.638786e-05
2002-01-10 00:00:00,0.00020332535,0.00012630383,0.00012630383
2002-01-10 06:00:00,6.471451e-05,5.90815e-05,5.90815e-05
2002-01-10 12:00:00,8.733281e-05,0.00012565451,0.00012565451
2002-01-10 18:00:00,3.064573e-06,2.1532507e-05,2.1532507e-05
2002-01-11 00:00:00,6.738639e-05,6.150078e-05,6.150078e-05
2002-01-11 06:00:00,7.836408e-06,4.8226346e-05,4.8226346e-05
2002-01-11 12:00:00,0.0,0.0,0.0
2002-01-11 18:00:00,0.0,0.0,0.0
2002-01-12 00:00:00,0.0,0.0,0.0
2002-01-12 06:00:00,0.0,0.0,0.0
2002-01-12 12:00:00,0.0,0.0,0.0
2002-01-12 18:00:00,0.0,0.0,0.0
2002-01-13 00:00:00,0.0,0.0,0.0
2002-01-13 06:00:00,1.5370083e-06,8.484595e-06,8.484595e-06
2002-01-13 12:00:00,7.910191e-05,9.051955e-05,9.051955e-05
2002-01-13 18:00:00,0.0,0.0,0.0
2002-01-14 00:00:00,8.3264524e-05,0.00011026289,0.00011026289
2002-01-14 06:00:00,8.513848e-05,0.00012306753,0.00012306753
2002-01-14 12:00:00,0.00024246747,0.00025513547,0.00025513547
2002-01-14 18:00:00,6.7972425e-05,5.3678934e-05,5.3678934e-05
2002-01-15 00:00:00,8.191711e-05,0.00011459782,0.00011459782
2002-01-15 06:00:00,8.860643e-05,0.00014320866,0.00014320866
2002-01-15 12:00:00,1.8182086e-06,1.1168862e-05,1.1168862e-05
2002-01-15 18:00:00,6.4168074e-05,4.9735532e-05,4.9735532e-05
2002-01-16 00:00:00,7.320084e-05,5.966021e-05,5.966021e-05
2002-01-16 06:00:00,6.71358e-05,5.0674476e-05,5.0674476e-05
2002-01-16 12:00:00,6.69099e-05,4.9858987e-05,4.9858987e-05
2002-01-16 18:00:00,7.354984e-05,6.401323e-05,6.401323e-05
2002-01-17 00:00:00,6.8488764e-05,4.3707376e-05,4.3707376e-05
2002-01-17 06:00:00,7.649554e-05,6.947276e-05,6.947276e-05
2002-01-17 12:00:00,0.00013153713,0.000111419766,0.000111419766
2002-01-17 18:00:00,7.811519e-05,8.108133e-05,8.108133e-05
2002-01-18 00:00:00,2.8008235e-05,3.295723e-05,3.295723e-05
2002-01-18 06:00:00,6.563151e-05,4.5567394e-05,4.5567394e-05
2002-01-18 12:00:00,6.535184e-05,4.4949637e-05,4.4949637e-05
2002-01-18 18:00:00,0.0,0.0,0.0
2002-01-19 00:00:00,0.0,0.0,0.0
2002-01-19 06:00:00,0.0,0.0,0.0
2002-01-19 12:00:00,0.0,0.0,0.0
2002-01-19 18:00:00,0.0,0.0,0.0
